Company,Company_real,Company_ID
,,
1und1,United Internet,141
,,
3Com,3Com,1
,,
Abocom,AboCom Systems,2
,,
Acer,Acer,3
,,
Ainol,"Shenzhen Ainol Electronics Co., Ltd",116
,,
Airis,Airis,4
,,
Airo,"AIRO WIRELESS, LLC",5
,,
Alcatel,Alcatel-Lucent,6
,,
Altina,Union Rich Development Corp,139
,,
Amazon,Amazon,7
,,
Amoi,"Amoi Technology Co., Ltd",8
,,
AnexTEK,Wistron Corporation,148
,,
AnyDATA,Anydata Corporation,9
,,
Apple,Apple Inc,10
,,
Archos,Archos,11
,,
Argox,Argox,12
,,
Arima,Arima Communications,13
,,
Asus,Asus,14
,,
AT_T,AT&T,15
,,
Athesi,Mobile Compia,85
,,
Audiovox,HTC,61
,,
Axia,Axia,16
,,
Babiken,Babiken,17
,,
Bell,HTC,61
,,
BenQ,BenQ,20
,,
BenQ-Siemens,BenQ,20
,,
Blaupunkt,Blaupunkt,22
,,
Blu,Into Blu,69
,,
Bluebird,Bluebird Soft Inc,23
,,
BN,Barnes & Noble,18
,,
Bsquare,Bsquare Corporation,24
,,
Camangi,Camangi,25
,,
Casio,Casio,26
,,
Cincinnati,Cincinnati Bell,28
,,
Cingular,HTC,61
,,
CipherLab,CipherLab,29
,,
Clearview,Clearview Technology,30
,,
Commtiva,Commtiva,31
,,
Compaq,Compaq,32
,,
Coolpad,Coolpad Group Limited,33
,,
Cowon,"Cowon Systems, Inc",34
,,
Coxion,Coxion,35
,,
Creative,Creative Technology Ltd,36
,,
CyberBank,HTC,61
,,
DAP,Roper Technologies,110
,,
Data,Data Evolution Corp,37
,,
Datalogic,Roper Technologies,110
,,
DataWind,DataWind,38
,,
Daxian,HTC,61
,,
Dell,Dell,39
,,
Detailed,Bluebird Soft Inc,23
,,
Diamond,Psion,106
,,
Dopod,HTC,61
,,
DreimGO,DreimGO,41
,,
E-TEN,"E-TEN Information Systems Co., Ltd",43
,,
Eken,EKEN Electronic,44
,,
Emobile,Huawei,62
,,
enTourage,enTourage,45
,,
Ericsson,Ericsson,46
,,
FirstOne,FirstOne Technology,47
,,
Fly,TechFaith Wirelessæ,131
,,
Fourier,Fourier Systems,48
,,
Fujitsu,Fujitsu Ltd,50
,,
Fujitsu-Siemens,Fujitsu Ltd,50
,,
Garmin,Garmin Ltd,51
,,
Garmin-Asus,Garmin Ltd,51
,,
Geeksphone,Foxconn Technology Group,49
,,
General,TechFaith Wirelessæ,131
,,
Geofox,Geofox Mobile,52
,,
Getac,MiTAC International Corp,84
,,
Gigabyte,Gigabyte Technology,53
,,
Google,Google,54
,,
Grundig,HTC,61
,,
HandEra,HandEra,55
,,
Handspring,Handspring Inc,56
,,
Hannspree,HannStar Display Corporation,57
,,
Hewlett-Packard,Hewlett-Packard,58
,,
Highscreen,Foxconn Technology Group,49
,,
Hitachi,"Hitachi, Ltd",59
,,
HKC,TechFaith Wirelessæ,131
,,
HOTT,Hongfutai E-Tech (Shenzhen) Co. Ltd,60
,,
HP,Hewlett-Packard,58
,,
HTC,HTC,61
,,
Huawei,Huawei,62
,,
Hyundai,Wistron Corporation,148
,,
I-Mate,I-Mate,64
,,
i-teq,Lenovo,76
,,
IBM,IBM,65
,,
ICD,Inventec Corporation,71
,,
iconX,iconX,66
,,
iDO,"Kinpo Electronics, Inc",73
,,
INQ,Inq Mobile,67
,,
Intermec,Intermec,68
,,
Interpad,E-noa,42
,,
Inventec,Inventec Corporation,71
,,
JoinTech,Join Technology,72
,,
KDDI,Kyocera Corporation,74
,,
Kogan,BenQ,20
,,
Krome,HTC,61
,,
Kyocera,Kyocera Corporation,74
,,
Lava,LavaæInternational Ltd,75
,,
Lenovo,Lenovo,76
,,
LG,LG Electronics,77
,,
Lobster,HTC,61
,,
M3Mobile,Mobile Compia,85
,,
MAG,MAG Digital,78
,,
Medion,MiTAC International Corp,84
,,
Meizu,"Meizu Technology Co., Ltd",80
,,
MENQ,MENQ International Limited,81
,,
Micromax,Micromax Informatics,82
,,
Microsoft,Microsoft,83
,,
Mio,MiTAC International Corp,84
,,
MiTAC,MiTAC International Corp,84
,,
Mobile,HTC,61
,,
Mobinnova,Foxconn Technology Group,49
,,
Motorola,Motorola,87
